date,,2022-09-24_FY,2021-09-25_FY,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,cashAndCashEquivalents,23646000000.0,34940000000.0,38016000000.0,48844000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0,11261000000.0,5263000000.0,11875000000.0,9352000000.0,6392000000.0,3491000000.0,2969000000.0,3396000000.0,2252000000.0,2310000000.0,1191000000.0,1326000000.0,1481000000.0,1230000000.0,1552000000.0,756000000.0,1203488000.0,676400000.0,498600000.0,604100000.0,374700000.0,438300000.0,545700000.0,565100000.0,576200000.0,337000000.0
,shortTermInvestments,24658000000.0,27699000000.0,52927000000.0,51713000000.0,40388000000.0,53892000000.0,46671000000.0,20481000000.0,11233000000.0,26287000000.0,18383000000.0,16137000000.0,14359000000.0,18201000000.0,12615000000.0,6034000000.0,3718000000.0,4770000000.0,2495000000.0,1170000000.0,2085000000.0,2026000000.0,2836000000.0,1900000000.0,819000000.0,229000000.0,193000000.0,196000000.0,54368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAndShortTermInvestments,48304000000.0,62639000000.0,90943000000.0,100557000000.0,66301000000.0,74181000000.0,67155000000.0,41601000000.0,25077000000.0,40546000000.0,29129000000.0,25952000000.0,25620000000.0,23464000000.0,24490000000.0,15386000000.0,10110000000.0,8261000000.0,5464000000.0,4566000000.0,4337000000.0,4336000000.0,4027000000.0,3226000000.0,2300000000.0,1459000000.0,1745000000.0,952000000.0,1257856000.0,676400000.0,498600000.0,604100000.0,374700000.0,438300000.0,545700000.0,565100000.0,576200000.0,337000000.0
,netReceivables,60932000000.0,51506000000.0,37445000000.0,45804000000.0,48995000000.0,35673000000.0,29299000000.0,30343000000.0,27219000000.0,20641000000.0,18692000000.0,11717000000.0,9924000000.0,5057000000.0,4704000000.0,4029000000.0,2845000000.0,1312000000.0,1050000000.0,950000000.0,565000000.0,466000000.0,953000000.0,681000000.0,955000000.0,1035000000.0,1496000000.0,1931000000.0,1581347000.0,1381900000.0,1087200000.0,907200000.0,761900000.0,792800000.0,638800000.0,405600000.0,263100000.0,220200000.0
,inventory,4946000000.0,6580000000.0,4061000000.0,4106000000.0,3956000000.0,4855000000.0,2132000000.0,2349000000.0,2111000000.0,1764000000.0,791000000.0,776000000.0,1051000000.0,455000000.0,509000000.0,346000000.0,270000000.0,165000000.0,101000000.0,56000000.0,45000000.0,11000000.0,33000000.0,20000000.0,78000000.0,437000000.0,662000000.0,1775000000.0,1088434000.0,1506600000.0,580100000.0,671700000.0,355500000.0,475400000.0,461500000.0,225800000.0,108700000.0,167000000.0
,otherCurrentAssets,21223000000.0,14111000000.0,11264000000.0,12352000000.0,12087000000.0,13936000000.0,8283000000.0,15085000000.0,14124000000.0,10335000000.0,9041000000.0,6543000000.0,5083000000.0,7289000000.0,4987000000.0,2195000000.0,1284000000.0,562000000.0,440000000.0,315000000.0,441000000.0,330000000.0,414000000.0,358000000.0,365000000.0,493000000.0,612000000.0,566000000.0,548815000.0,773500000.0,1392500000.0,680600000.0,911200000.0,587900000.0,137000000.0,110900000.0,92900000.0,97900000.0
,totalCurrentAssets,135405000000.0,134836000000.0,143713000000.0,162819000000.0,131339000000.0,128645000000.0,106869000000.0,89378000000.0,68531000000.0,73286000000.0,57653000000.0,44988000000.0,41678000000.0,36265000000.0,34690000000.0,21956000000.0,14509000000.0,10300000000.0,7055000000.0,5887000000.0,5388000000.0,5143000000.0,5427000000.0,4285000000.0,3698000000.0,3424000000.0,4515000000.0,5224000000.0,4476452000.0,4338400000.0,3558400000.0,2863600000.0,2403300000.0,2294400000.0,1783000000.0,1307400000.0,1040900000.0,822100000.0
,propertyPlantEquipmentNet,42117000000.0,39440000000.0,36766000000.0,37378000000.0,41304000000.0,33783000000.0,27010000000.0,22471000000.0,20624000000.0,16597000000.0,15452000000.0,7777000000.0,4768000000.0,2954000000.0,2455000000.0,1832000000.0,1281000000.0,817000000.0,707000000.0,669000000.0,621000000.0,564000000.0,313000000.0,318000000.0,348000000.0,486000000.0,598000000.0,711000000.0,667100000.0,659500000.0,462200000.0,448000000.0,398200000.0,334200000.0,207400000.0,130400000.0,107300000.0,90400000.0
,goodwill,0.0,0.0,0.0,0.0,0.0,5717000000.0,5414000000.0,5116000000.0,4616000000.0,1577000000.0,1135000000.0,896000000.0,741000000.0,206000000.0,207000000.0,38000000.0,38000000.0,69000000.0,80000000.0,85000000.0,85000000.0,66000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,intangibleAssets,0.0,0.0,0.0,0.0,0.0,2298000000.0,3206000000.0,3893000000.0,4142000000.0,4179000000.0,4224000000.0,3536000000.0,342000000.0,247000000.0,285000000.0,299000000.0,139000000.0,27000000.0,17000000.0,24000000.0,34000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
