date,,2023-01-29_FY,2022-01-30_FY,2021-01-31_FY,2020-01-26_FY,2019-01-27_FY,2018-01-28_FY,2017-01-29_FY,2016-01-31_FY,2015-01-25_FY,2014-01-26_FY,2013-01-27_FY,2012-01-29_FY,2011-01-30_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-28_FY,2006-01-29_FY,2005-01-30_FY,2004-01-31_FY,2003-01-26_FY,2002-01-27_FY,2001-01-28_FY,2000-01-30_FY,1999-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4368000000.0,9752000000.0,4332000000.0,2796000000.0,4141000000.0,3047000000.0,1666000000.0,614000000.0,630587000.0,439990000.0,562536000.0,581090000.0,253146000.0,-67987000.0,-30041000.0,797645000.0,448834000.0,302586000.0,100356000.0,74419000.0,90799000.0,176924000.0,99937000.0,38100000.0,4100000.0
,depreciationAndAmortization,1544000000.0,1174000000.0,1098000000.0,381000000.0,262000000.0,199000000.0,187000000.0,197000000.0,220125000.0,239148000.0,226235000.0,204205000.0,186989000.0,196664000.0,185023000.0,133192000.0,107562000.0,97977000.0,102597000.0,82688000.0,58216000.0,43497000.0,15836000.0,9700000.0,6500000.0
,deferredIncomeTax,-2164000000.0,-406000000.0,-282000000.0,18000000.0,-315000000.0,-359000000.0,197000000.0,134000000.0,82569000.0,15430000.0,31860000.0,19056000.0,-2646000.0,-21147000.0,-23277000.0,89516000.0,41766000.0,-10622000.0,12141000.0,55135000.0,29768000.0,-51914000.0,-27201000.0,0.0,0.0
,stockBasedCompensation,2709000000.0,2004000000.0,1397000000.0,844000000.0,557000000.0,391000000.0,247000000.0,204000000.0,157841000.0,136295000.0,136662000.0,136354000.0,100353000.0,242826000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2207000000.0,-3363000000.0,-703000000.0,717000000.0,-857000000.0,185000000.0,-679000000.0,-51000000.0,-202527000.0,12237000.0,-112322000.0,2149000.0,151699000.0,136415000.0,-33333000.0,169949000.0,-132870000.0,20133000.0,-95111000.0,-180768000.0,35402000.0,-98443000.0,-84776000.0,-42500000.0,-12600000.0
,accountsReceivables,822000000.0,-2215000000.0,-550000000.0,-233000000.0,-149000000.0,-440000000.0,-321000000.0,-32000000.0,-49324000.0,28852000.0,-118940000.0,26236000.0,26341000.0,-56741000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2554000000.0,-774000000.0,-524000000.0,597000000.0,-776000000.0,0.0,-375000000.0,66000000.0,-94984000.0,24651000.0,-78949000.0,18884000.0,-14128000.0,204656000.0,-177295000.0,-3690000.0,-91395000.0,60726000.0,-81280000.0,-85126000.0,68831000.0,-123497000.0,-52274000.0,-9000000.0,-28100000.0
,accountsPayables,-551000000.0,568000000.0,363000000.0,194000000.0,-135000000.0,90000000.0,184000000.0,-11000000.0,-26895000.0,-20382000.0,10885000.0,35708000.0,-69786000.0,119366000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,163000000.0,28000000.0,2000000.0,481000000.0,-14000000.0,-97000000.0,-41073000.0,4823000.0,8567000.0,-70694000.0,4331000.0,3857000.0,-2108000.0,-13914000.0,7314000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,1391000000.0,-53000000.0,-20000000.0,5000000.0,-45000000.0,39000000.0,54000000.0,77000000.0,17061000.0,-7954000.0,-20799000.0,-33698000.0,-13744000.0,1036000.0,150988000.0,79894000.0,121819000.0,36334000.0,12217000.0,18204000.0,50847000.0,90742000.0,64113000.0,10600000.0,100000.0
,netCashProvidedByOperatingActivites,5641000000.0,9108000000.0,5822000000.0,4761000000.0,3743000000.0,3502000000.0,1672000000.0,1175000000.0,905656000.0,835146000.0,824172000.0,909156000.0,675797000.0,487807000.0,249360000.0,1270196000.0,587111000.0,446408000.0,132200000.0,49678000.0,265032000.0,160806000.0,67909000.0,15900000.0,-1900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1833000000.0,-976000000.0,-1128000000.0,-489000000.0,-600000000.0,-593000000.0,-176000000.0,-86000000.0,-122381000.0,-255186000.0,-183309000.0,-138735000.0,-97890000.0,-77601000.0,-407670000.0,-187745000.0,-145256000.0,-79600000.0,-67261000.0,-127604000.0,-63123000.0,-161075000.0,-36329000.0,-11600000.0,-7900000.0
,acquisitionsNet,-49000000.0,-263000000.0,-8524000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-17145000.0,0.0,-348884000.0,0.0,0.0,-27948000.0,-75542000.0,-401800000.0,-12131000.0,0.0,-71303000.0,-3901000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-11974000000.0,-24811000000.0,-19342000000.0,-1475000000.0,-11157000000.0,-72000000.0,-3134000000.0,-3477000000.0,-2861809000.0,-3065404000.0,-2378445000.0,-1964898000.0,-1719700000.0,-1193948000.0,-999953000.0,-1251870000.0,-220834000.0,-338058000.0,-313760000.0,-734642000.0,-639500000.0,-472917000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,21231000000.0,16220000000.0,9319000000.0,8109000000.0,7660000000.0,1941000000.0,2515000000.0,3138000000.0,2236780000.0,2511967000.0,1817410000.0,1310743000.0,1170075000.0,752434000.0,1226646000.0,753839000.0,227067000.0,397686000.0,229068000.0,1021590000.0,422200000.0,15320000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,25000000.0,20362000.0,19831000.0,352000.0,-1590000.0,-2163000.0,-218000.0,-442000.0,0.0,0.0,-9684000.0,0.0,0.0,7000000.0,17500000.0,-24500000.0,0.0,0.0
,netCashUsedForInvestingActivites,7375000000.0,-9830000000.0,-19675000000.0,6145000000.0,-4097000000.0,1278000000.0,-793000000.0,-400000000.0,-727048000.0,-805937000.0,-743992000.0,-1143364000.0,-649678000.0,-519333000.0,-209367000.0,-761318000.0,-540823000.0,-41787000.0,-151953000.0,88041000.0,-277324000.0,-601172000.0,-60829000.0,-11600000.0,-7900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
