date,,2023-01-29_FY,2022-01-30_FY,2021-01-31_FY,2020-01-26_FY,2019-01-27_FY,2018-01-28_FY,2017-01-29_FY,2016-01-31_FY,2015-01-25_FY,2014-01-26_FY,2013-01-27_FY,2012-01-29_FY,2011-01-30_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-28_FY,2006-01-29_FY,2005-01-30_FY,2004-01-31_FY,2003-01-26_FY,2002-01-27_FY,2001-01-28_FY,2000-01-30_FY,1999-01-31_FY
,revenue,26974000000.0,26914000000.0,16675000000.0,10918000000.0,11716000000.0,9714000000.0,6910000000.0,5010000000.0,4681507000.0,4130162000.0,4280159000.0,3997930000.0,3543309000.0,3326445000.0,3424859000.0,4097860000.0,3068771000.0,2375687000.0,2010033000.0,1822945000.0,1909447000.0,1369471000.0,735264000.0,374500000.0,151400000.0
,costOfRevenue,11618000000.0,9439000000.0,6279000000.0,4150000000.0,4545000000.0,3892000000.0,2847000000.0,2199000000.0,2082030000.0,1862399000.0,2053816000.0,1941413000.0,2134219000.0,2149522000.0,2250590000.0,2228580000.0,1768322000.0,1464892000.0,1360547000.0,1294067000.0,1333435000.0,850233000.0,444262000.0,225900000.0,103200000.0
,grossProfit,15356000000.0,17475000000.0,10396000000.0,6768000000.0,7171000000.0,5822000000.0,4063000000.0,2811000000.0,2599477000.0,2267763000.0,2226343000.0,2056517000.0,1409090000.0,1176923000.0,1174269000.0,1869280000.0,1300449000.0,910795000.0,649486000.0,528878000.0,576012000.0,519238000.0,291002000.0,148600000.0,48200000.0
,grossProfitRatio,0.5692889449099132,0.6492903321691313,0.623448275862069,0.619893753434695,0.6120689655172413,0.5993411570928556,0.5879884225759768,0.5610778443113772,0.5552650033418726,0.5490736198725377,0.5201542746426009,0.5143954496451913,0.39767629636591106,0.3538080443235947,0.34286637785672347,0.4561600445110375,0.4237686683040214,0.3833817333680742,0.32312205819506445,0.2901228506619783,0.30166430385341936,0.3791522419970923,0.39577893110501805,0.3967957276368491,0.31836195508586523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,7339000000.0,5268000000.0,3924000000.0,2829000000.0,2376000000.0,1797000000.0,1463000000.0,1331000000.0,1359725000.0,1335834000.0,1147282000.0,1002605000.0,848830000.0,908851000.0,855879000.0,691637000.0,553467000.0,352099000.0,335104000.0,269972000.0,224873000.0,153920000.0,86438000.0,47400000.0,25100000.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114000000.0,0.0,0.0,0.0,0.0,14158000.0,0.0,0.0,0.0,16371000.0,15836000.0,9700000.0,6500000.0
,operatingExpenses,9779000000.0,7434000000.0,5864000000.0,3922000000.0,3367000000.0,2612000000.0,2126000000.0,1933000000.0,1840488000.0,1771536000.0,1578104000.0,1408218000.0,1153343000.0,1275868000.0,1218101000.0,1032934000.0,846997000.0,570698000.0,535893000.0,435221000.0,432026000.0,267476000.0,160711000.0,94200000.0,50500000.0
,costAndExpenses,21397000000.0,16873000000.0,12143000000.0,8072000000.0,7912000000.0,6504000000.0,4973000000.0,4132000000.0,3922518000.0,3633935000.0,3631920000.0,3349631000.0,3287562000.0,3425390000.0,3468691000.0,3261514000.0,2615319000.0,2035590000.0,1896440000.0,1729288000.0,1765461000.0,1117709000.0,604973000.0,320100000.0,153700000.0
,interestExpense,262000000.0,236000000.0,184000000.0,52000000.0,58000000.0,61000000.0,58000000.0,47000000.0,46133000.0,10443000.0,3294000.0,3089000.0,3127000.0,3320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1544000000.0,1174000000.0,1098000000.0,381000000.0,262000000.0,199000000.0,187000000.0,197000000.0,220125000.0,239148000.0,226235000.0,204205000.0,186989000.0,196664000.0,185023000.0,133192000.0,107562000.0,97977000.0,102597000.0,82688000.0,58216000.0,43497000.0,15836000.0,9700000.0,6500000.0
,EBITDA,5987000000.0,11351000000.0,5691000000.0,3403000000.0,4216000000.0,3456000000.0,2150000000.0,987000000.0,1021094000.0,759845000.0,891568000.0,870690000.0,461285000.0,117690000.0,142069000.0,1034533000.0,602746000.0,458198000.0,228042000.0,169361000.0,208773000.0,296246000.0,162800000.0,65900000.0,11000000.0
,EBITDARatio,0.22195447467932083,0.42175076168536824,0.34128935532233884,0.3116871221835501,0.3598497780812564,0.355775169857937,0.3111432706222865,0.19700598802395208,0.218112244625502,0.18397462375567836,0.20830254203173293,0.21778520384298874,0.13018480747798175,0.03538011300352178,0.04148170771409859,0.25245689213394307,0.19641283106494423,0.192869683590473,0.11345186870066312,0.09290516170262954,0.10933689178070928,0.21632148471928211,0.2214170692431562,0.1759679572763685,0.0726552179656539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,5577000000.0,10041000000.0,4532000000.0,2846000000.0,3804000000.0,3210000000.0,1934000000.0,747000000.0,758989000.0,496227000.0,648239000.0,648299000.0,255747000.0,-98945000.0,-70700000.0,836346000.0,453452000.0,340097000.0,113593000.0,90157000.0,143986000.0,241732000.0,130291000.0,54400000.0,-2300000.0
